ID"";"tombe";"site";"province";"zone_geo";"amphore";"monnaie";"lampe";"armement";"parure";"strigile";"instrument.de.toilette";"miroir";"vaisselle.métallique";"vaisselle.en.verre";"matériaux.précieux";"char";"lit.funéraire";"instrument.écriture";"quantité.objet";"tombe_multiple";"sexe.defunt";"classe.age.defunt";"date_debut";"date_fin";"intervalle_personnalise";"groupe_cah";"diversite"
"1";"AVAM_St 101";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"féminin";"adulte";50;100;"1-100";"1";0
"2";"AVAM_St 102";"AVAM";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;0;7;"non";"indéterminé";"adulte";31;70;"1-100";"1";1
"3";"AVAM_St 104";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";50;100;"1-100";"1";0
"4";"AVAM_St 107";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"adulte";31;70;"1-100";"1";0
"5";"AVAM_St 118";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";31;70;"1-100";"1";0
"6";"AVAM_St 119";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;"non";"indéterminé";"adulte";50;75;"1-100";"1";0
"7";"AVAM_St 123";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;"non";"indéterminé";"adulte";50;75;"1-100";"1";0
"8";"AVAM_St 124";"AVAM";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;"oui";"indéterminé";"mixte (adulte + enfant)";50;75;"1-100";"1";1
"9";"AVAM_St 128";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;"non";"féminin";"adulte";31;70;"1-100";"1";1
"10";"AVAM_St 134";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";50;75;"1-100";"1";0
"11";"AVAM_St 139";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";50;100;"1-100";"1";0
"12";"AVAM_St 140";"AVAM";"Germanie";"Gaule du centre-est";1;1;0;0;1;0;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"adulte";30;70;"1-100";"1";3
"13";"AVAM_St 145/113";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;"non";"indéterminé";"adulte";31;70;"1-100";"1";1
"14";"AVAM_St 148";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;"non";"féminin";"adulte";50;75;"1-100";"1";0
"15";"AVAM_St 159";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"non";"masculin";"adulte";40;80;"1-100";"1";0
"16";"AVAM_St 163";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";40;70;"1-100";"1";0
"17";"AVAM_St 172";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";50;75;"1-100";"1";0
"18";"AVAM_St 179";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;"non";"masculin";"adulte";1;50;"1-100";"1";0
"19";"AVAM_St 184";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;1;0;0;0;0;0;0;0;0;0;78;"oui";"masculin +  féminin";"adulte";40;70;"1-100";"2";1
"20";"AVAM_St 34";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;"non";"masculin";"adulte";30;80;"1-100";"2";0
"21";"AVAM_St 35";"AVAM";"Germanie";"Gaule du centre-est";1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"oui";"masculin";"adulte";30;80;"1-100";"1";1
"22";"AVAM_St 36";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"non";"masculin";"adulte";40;70;"1-100";"1";0
"23";"AVAM_St 38";"AVAM";"Germanie";"Gaule du centre-est";1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;"non";"indéterminé";"adulte";50;75;"1-100";"1";1
"24";"AVAM_St 41";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;"non";"indéterminé";"adulte";40;80;"1-100";"2";0
"25";"AVAM_St 42";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;"non";"indéterminé";"adulte";50;75;"1-100";"2";0
"26";"AVAM_St 43";"AVAM";"Germanie";"Gaule du centre-est";0;1;0;0;1;0;0;0;0;1;0;0;0;0;140;"non";"indéterminé";"adulte";50;75;"1-100";"3";3
"27";"AVAM_St 45";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;"non";"indéterminé";"adulte";50;75;"1-100";"2";0
"28";"AVAM_St 49";"AVAM";"Germanie";"Gaule du centre-est";1;0;0;0;0;0;0;0;0;0;0;0;0;1;13;"non";"masculin";"adulte";50;75;"1-100";"1";2
"29";"AVAM_St 50";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";50;75;"1-100";"1";0
"30";"AVAM_St 55";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;"non";"masculin";"adulte";30;80;"1-100";"2";0
"31";"AVAM_St 56";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";1;100;"1-100";"1";0
"32";"AVAM_St 59";"AVAM";"Germanie";"Gaule du centre-est";1;0;0;0;0;0;0;0;0;0;0;0;0;0;42;"non";"masculin";"adulte";70;80;"1-100";"2";1
"33";"AVAM_St 61";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;"non";"indéterminé";"enfant";50;75;"1-100";"2";0
"34";"AVAM_St 63/69";"AVAM";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;"oui";"indéterminé";"mixte (adulte + enfant)";40;80;"1-100";"1";1
"35";"AVAM_St 65";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";40;70;"1-100";"1";0
"36";"AVAM_St 72";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;"non";"masculin";"adulte";40;80;"1-100";"2";0
"37";"AVAM_St 74";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;90;"oui";"mixte";"mixte (adulte + enfant)";50;75;"1-100";"2";1
"38";"AVAM_St 78";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;"non";"indéterminé";"enfant";40;70;"1-100";"1";0
"39";"AVAM_St 80";"AVAM";"Germanie";"Gaule du centre-est";0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";50;75;"1-100";"1";2
"40";"AVAM_St 81";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;42;"non";"masculin";"adulte";50;75;"1-100";"2";1
"41";"AVAM_St 83/90";"AVAM";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;1;0;0;0;0;136;"oui";"mixte";"mixte (adulte + enfant)";60;80;"1-100";"3";2
"42";"AVAM_St 84";"AVAM";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;"non";"masculin";"adulte";50;75;"1-100";"1";1
"43";"AVAM_St 91";"AVAM";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;0;33;"non";"indéterminé";"adulte";31;70;"1-100";"2";1
"44";"AVEC_Structure 1/48";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;"non";"indéterminé";"enfant";150;230;"100-300";"4";1
"45";"AVEC_Structure 106";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;1;0;0;0;0;8;"non";"indéterminé";"enfant";130;160;"100-300";"5";2
"46";"AVEC_Structure 107";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;1;0;0;0;0;16;"non";"masculin";"adulte";50;130;"1-100";"6";2
"47";"AVEC_Structure 109";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;"non";"masculin";"adulte";150;230;"100-300";"4";1
"48";"AVEC_Structure 110 (a ?)";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"non";"masculin";"adulte";130;160;"100-300";"5";0
"49";"AVEC_Structure 110a";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;"non";"masculin";"adulte";130;160;"100-300";"5";0
"50";"AVEC_Structure 110a ou b";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;"oui";"mixte";"mixte (adulte + enfant)";130;160;"100-300";"5";1
"51";"AVEC_Structure 111";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"non";"féminin probable";"adulte";150;230;"100-300";"4";0
"52";"AVEC_Structure 112";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;"non";"masculin";"adulte";130;160;"100-300";"5";0
"53";"AVEC_Structure 116";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;1;1;0;0;0;13;"non";"indéterminé";"enfant";50;130;"1-100";"6";3
"54";"AVEC_Structure 119";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;"non";"indéterminé";"enfant";130;160;"100-300";"5";1
"55";"AVEC_Structure 121";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;1;0;0;0;0;1;0;0;0;0;14;"oui";"féminin";"adulte";150;230;"100-300";"4";2
"56";"AVEC_Structure 122";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;1;0;0;0;0;4;"non";"indéterminé";"enfant";130;160;"100-300";"5";2
"57";"AVEC_Structure 125";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"non";"masculin";"enfant";100;150;"100-300";"7";0
"58";"AVEC_Structure 126";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;"non";"masculin";"adulte";50;130;"1-100";"6";1
"59";"AVEC_Structure 127";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"non";"féminin probable";"adulte";130;160;"100-300";"5";0
"60";"AVEC_Structure 128";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"féminin";"adulte";100;150;"100-300";"7";0
"61";"AVEC_Structure 13";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";50;130;"1-100";"6";0
"62";"AVEC_Structure 131";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";130;160;"100-300";"5";1
"63";"AVEC_Structure 132";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;"non";"masculin";"adulte";130;160;"100-300";"5";0
"64";"AVEC_Structure 133";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;"non";"féminin";"adulte";130;160;"100-300";"5";1
"65";"AVEC_Structure 135";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;"non";"féminin";"adulte";130;160;"100-300";"5";1
"66";"AVEC_Structure 136";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;"non";"masculin";"adulte";130;160;"100-300";"5";1
"67";"AVEC_Structure 137b";"AVEC";"Germanie";"Gaule du centre-est";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";130;160;"100-300";"5";1
"68";"AVEC_Structure 138";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;"non";"masculin";"adulte";130;160;"100-300";"5";0
"69";"AVEC_Structure 140/141";"AVEC";"Germanie";"Gaule du centre-est";0;0;1;0;0;0;0;0;0;1;0;0;0;0;6;"non";"masculin";"adulte";50;130;"1-100";"6";2
