ID;tombe;site;province;zone_geo;amphore;monnaie;lampe;armement;parure;strigile;instrument.de.toilette;miroir;vaisselle.métallique;vaisselle.en.verre;matériaux.précieux;char;lit.funéraire;instrument.écriture;quantité.objet;tombe_multiple;sexe.defunt;classe.age.defunt;date_debut;date_fin;intervalle_personnalise;groupe_cah;x;y
1;FEU_tombe 1;FEU;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;enfant;-30;-15;-75-1;1;49.85;6.01667
2;FEU_tombe 100;FEU;Germanie;Gaule du nord;0;0;0;1;0;0;0;1;0;0;0;0;0;0;16;non;indéterminé;enfant;-15;20;-75-1;2;49.85;6.01667
3;FEU_tombe 101;FEU;Germanie;Gaule du nord;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;non;masculin probable;adulte;-30;20;-75-1;2;49.85;6.01667
4;FEU_tombe 107;FEU;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte;20;45;1-100;3;49.85;6.01667
5;FEU_tombe 108;FEU;Germanie;Gaule du nord;0;0;0;0;1;0;0;1;0;0;0;0;0;0;5;non;féminin;adulte;20;45;1-100;3;49.85;6.01667
6;FEU_tombe 110;FEU;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;féminin probable;adulte;20;45;1-100;3;49.85;6.01667
7;FEU_tombe 113;FEU;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin probable;adulte;45;90;1-100;4;49.85;6.01667
8;FEU_tombe 115;FEU;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;non;indéterminé;indéterminé;20;45;1-100;3;49.85;6.01667
9;FEU_tombe 117;FEU;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;19;non;indéterminé;indéterminé;-15;20;-75-1;2;49.85;6.01667
10;FEU_tombe 118;FEU;Germanie;Gaule du nord;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;non;indéterminé;adulte;20;45;1-100;3;49.85;6.01667
11;FEU_tombe 120;FEU;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;indéterminé;-30;20;-75-1;2;49.85;6.01667
12;FEU_tombe 122;FEU;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;non;indéterminé;adulte;-30;-15;-75-1;1;49.85;6.01667
13;FEU_tombe 128;FEU;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;enfant;45;90;1-100;4;49.85;6.01667
14;FEU_tombe 130;FEU;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;indéterminé;adulte;20;45;1-100;3;49.85;6.01667
15;FEU_tombe 134;FEU;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;oui;mixte;adulte;-30;-15;-75-1;1;49.85;6.01667
16;FEU_tombe 145;FEU;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte;20;90;1-100;4;49.85;6.01667
17;FEU_tombe 147;FEU;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;non;masculin probable;adulte;20;45;1-100;3;49.85;6.01667
18;FEU_tombe 150;FEU;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin;adulte;20;45;1-100;3;49.85;6.01667
19;FEU_tombe 151;FEU;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin;adulte;45;90;1-100;4;49.85;6.01667
20;FEU_tombe 159;FEU;Germanie;Gaule du nord;0;1;0;0;1;0;0;1;0;0;0;0;0;0;4;non;indéterminé;adulte;20;45;1-100;3;49.85;6.01667
21;FEU_tombe 163;FEU;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;non;indéterminé;adulte;-30;20;-75-1;2;49.85;6.01667
22;FEU_tombe 171;FEU;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;féminin probable;adulte;-50;-15;-75-1;1;49.85;6.01667
23;FEU_tombe 179;FEU;Germanie;Gaule du nord;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;non;indéterminé;adulte;-30;20;-75-1;2;49.85;6.01667
24;FEU_tombe 18;FEU;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;non;indéterminé;adulte;-30;-15;-75-1;1;49.85;6.01667
25;FEU_tombe 180;FEU;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;non;indéterminé;adulte;-30;-15;-75-1;1;49.85;6.01667
26;FEU_tombe 182;FEU;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;non;féminin probable;adulte;-50;-15;-75-1;1;49.85;6.01667
27;FEU_tombe 183;FEU;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9;non;féminin;adulte;-15;20;-75-1;2;49.85;6.01667
28;FEU_tombe 193;FEU;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;indéterminé;indéterminé;20;90;1-100;4;49.85;6.01667
29;FEU_tombe 194;FEU;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;non;féminin probable;adulte;20;45;1-100;3;49.85;6.01667
30;FEU_tombe 197;FEU;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;non;indéterminé;indéterminé;20;45;1-100;3;49.85;6.01667
