"ID";"tombe";"site";"province";"zone_geo";"amphore";"monnaie";"lampe";"armement";"parure";"strigile";"instrument.de.toilette";"miroir";"vaisselle.métallique";"vaisselle.en.verre";"matériaux.précieux";"char";"lit.funéraire";"instrument.écriture";"quantité.objet";"tombe_multiple";"sexe.defunt";"classe.age.defunt";"date_debut";"date_fin";"centre_chrono";"intervalle_personnalise";"groupe_cah";"diversite"
"1";"AIXZAC_sépulture  38";"AIXZAC";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"indéterminé";150;200;175;"100 - 300";"1";0
"2";"AIXZAC_sépulture 10";"AIXZAC";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;1;0;0;0;0;1;1;0;0;0;9;"non";"indéterminé";"indéterminé";40;60;50;"1 - 100";"1";3
"3";"AIXZAC_sépulture 21";"AIXZAC";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"indéterminé";60;90;75;"1 - 100";"1";1
"4";"AIXZAC_sépulture 22";"AIXZAC";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;"non";"indéterminé";"indéterminé";100;130;115;"100 - 300";"1";1
"5";"AIXZAC_sépulture 30";"AIXZAC";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"indéterminé";60;150;105;"100 - 300";"1";0
"6";"AIXZAC_sépulture 32";"AIXZAC";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"indéterminé";150;200;175;"100 - 300";"1";1
"7";"AIXZAC_sépulture 41";"AIXZAC";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;"non";"indéterminé";"indéterminé";60;120;90;"1 - 100";"1";1
"8";"AIXZAC_sépulture 43";"AIXZAC";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"indéterminé";150;200;175;"100 - 300";"1";1
"9";"AIXZAC_sépulture 46";"AIXZAC";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;"non";"indéterminé";"indéterminé";70;130;100;"100 - 300";"1";0
"10";"AIXZAC_sépulture 47";"AIXZAC";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"non";"indéterminé";"indéterminé";50;150;100;"100 - 300";"1";0
"11";"AIXZAC_sépulture 48";"AIXZAC";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"indéterminé";60;90;75;"1 - 100";"1";0
"12";"AIXZAC_sépulture double 27/28";"AIXZAC";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"indéterminé";150;200;175;"100 - 300";"1";1
"13";"AIXZAC_tombe-bûcher 12";"AIXZAC";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"indéterminé";60;90;75;"1 - 100";"1";0
"14";"AIXZAC_tombe-bûcher 13";"AIXZAC";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"non";"indéterminé";"indéterminé";60;90;75;"1 - 100";"1";0
"15";"CAB_tombe 1";"CAB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"indéterminé";50;100;75;"1 - 100";"1";1
"16";"CAB_tombe 10";"CAB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;"non";"indéterminé";"indéterminé";90;100;95;"1 - 100";"1";1
