ID;site_abbreviation;zone_geo;fonction_nom;obj_nom;nouvelle_categorie;obj_nmi;materiau_nom;depot_nom;obj_remarque;typeSep_nom;defunt_genre;defunt_age;defunt_classe_age;phase_date_debut;phase_date_fin;province_nom;us_nom;obj_typologie;obj_longueur;obj_hauteur
1;NIMJJ;Gaule du sud;huisserie, charpente;clou;huisserie  charpente;1;fer;mobilier déposé dans une inhumation;;inhumation en pleine terre;masculin;15-18 ans;juvenis;1;200;Gaule Narbonnaise;SP1067;;act. 60;
2;NIMJJ;Gaule du sud;parure, vêtement;bague;parure annulaire bague et anneau;1;alliage cuivreux;modalité de dépôt inconnue;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1488;Guiraud 1989, type 8b;;
3;NIMJJ;Gaule du sud;toilette, hygiène;cure-oreille;instrument de toilette;1;alliage cuivreux;modalité de dépôt inconnue;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1481;;act. 117;
4;NIMJJ;Gaule du sud;écriture;stylet;intrument écriture sur cire;1;fer;modalité de dépôt inconnue;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1483;;act. 140;
5;NIMJJ;Gaule du sud;écriture;stylet;intrument écriture sur cire;1;fer;modalité de dépôt inconnue;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1485;;act. 122;
6;NIMJJ;Gaule du sud;indéterminé;objet indéterminé;indéterminé;1;fer;modalité de dépôt inconnue;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1484-1486;;act. 155;
7;NIMJJ;Gaule du sud;indéterminé;tige;indéterminé;0;fer;dépôt primaire de mobilier;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1495;;act. 76;
8;NIMJJ;Gaule du sud;huisserie, charpente;clou;huisserie  charpente;2;fer;dépôt primaire de mobilier;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1489 et 1491;;;
9;NIMJJ;Gaule du sud;indéterminé;coulure;indéterminé;0;fer;dépôt primaire de mobilier;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1489 et 1490;;;
10;NIMJJ;Gaule du sud;indéterminé;tige;indéterminé;0;fer;dépôt primaire de mobilier;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1492 et 1494;;;
11;NIMJJ;Gaule du sud;indéterminé;coulure;indéterminé;0;fer;dépôt primaire de mobilier;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1493;;;
12;NIMJJ;Gaule du sud;indéterminé;coulure;indéterminé;0;fer;dépôt primaire de mobilier;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394, US 1477;;;
13;NIMJJ;Gaule du sud;ameublement;élément de placage;ameublement;1;os;dépôt primaire de mobilier;restes osseux de l'immature non brûlés;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;125;170;Gaule Narbonnaise;SP1394;;10;
14;STL;Gaule du sud;parure, vêtement;clou de chaussure;clou de chaussure;1;fer;dépôt primaire de mobilier;intérieur de l'urne;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;69;96;Gaule Narbonnaise;T131;;;
15;STL;Gaule du sud;indéterminé;scorie;indéterminé;0;alliage cuivreux;dépôt primaire de mobilier;intérieur de l'urne;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;69;96;Gaule Narbonnaise;T131;;;
16;STL;Gaule du sud;éclairage;lampe à huile;éclairage;1;terre cuite;dépôt primaire de mobilier;intérieur fosse;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;69;96;Gaule Narbonnaise;T131;;;
17;STL;Gaule du sud;parure, vêtement;intaille;parure annulaire bague a intaille;1;nicolo;dépôt primaire de mobilier;intérieur contenant;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;69;96;Gaule Narbonnaise;T131;;;12
18;STL;Gaule du sud;travail du textile;aiguille;travail du textile;1;os;dépôt primaire de mobilier;intérieur contenant;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;69;96;Gaule Narbonnaise;T131;;36;
19;STL;Gaule du sud;boisson;coupe;récipient à boire;1;verre;modalité de dépôt inconnue;intérieur contenant;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;69;96;Gaule Narbonnaise;T131;"Rütti 1991, type AR 80 ; Isings 1957, type 42a";;38
20;STL;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;modalité de dépôt inconnue;intérieur contenant;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;69;96;Gaule Narbonnaise;T131;;;
21;STL;Gaule du sud;indéterminé;scorie;indéterminé;1;verre;dépôt primaire de mobilier;intérieur contenant;crémation secondaire à urne;indéterminé;13-19 ans;juvenis;69;96;Gaule Narbonnaise;T131;;;
22;STL;Gaule du sud;parure, vêtement;perle;perle;1;verre;dépôt primaire de mobilier;intérieur fosse;crémation secondaire en fosse;indéterminé;13-19 ans;juvenis;-50;400;Gaule Narbonnaise;T141;;;
23;STL;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;intérieur fosse;crémation secondaire en fosse;indéterminé;13-19 ans;juvenis;-50;400;Gaule Narbonnaise;T141;;;
24;STL;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;intérieur fosse;crémation secondaire en fosse;indéterminé;13-19 ans;juvenis;-50;400;Gaule Narbonnaise;T141;;;
25;STL;Gaule du sud;éclairage;lampe à huile;éclairage;1;terre cuite;modalité de dépôt inconnue;extérieur urne;crémation secondaire mixte;indéterminé;13-19 ans;juvenis;-27;70;Gaule Narbonnaise;T309;;;
26;NIMJJ;Gaule du sud;boisson;coupe;récipient à boire;1;verre;dépôt primaire incertain;;crémation secondaire et inhumation;indéterminé;;adulte;125;175;Gaule Narbonnaise;SP2024, US 2025;Isings 1957, type 42;;
27;NIMJJ;Gaule du sud;éclairage;lampe à huile;éclairage;1;terre cuite;mobilier résiduel;;crémation secondaire et inhumation;indéterminé;;adulte;125;175;Gaule Narbonnaise;SP2024, US 2025;Loeschcke 1919, type III;;
28;NIMJJ;Gaule du sud;éclairage;lampe à huile;éclairage;1;terre cuite;modalité de dépôt inconnue;;bûcher en fosse;indéterminé;;adulte;75;150;Gaule Narbonnaise;SP2037, US 2038;;;
29;NIMJJ;Gaule du sud;parure, vêtement;bague;parure annulaire bague et anneau;1;fer;modalité de dépôt inconnue;;bûcher en fosse;indéterminé;;adulte;75;150;Gaule Narbonnaise;SP2037, US 2038;;act. 22,4;20,4
30;NIMJJ;Gaule du sud;parure, vêtement;clou de chaussure;clou de chaussure;60;fer;modalité de dépôt inconnue;;bûcher en fosse;indéterminé;;adulte;75;150;Gaule Narbonnaise;SP2037, US 2038;;;
31;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;modalité de dépôt inconnue;;bûcher en fosse;indéterminé;;adulte;75;150;Gaule Narbonnaise;SP2037, US 2038;;;
32;NIMJJ;Gaule du sud;boisson;gobelet;récipient à boire;1;verre;dépôt secondaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1190;Isings 1957, type 106c2;;102
33;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt secondaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1191;"Rütti 1991, type AR 130.2 ; Isings 1957, type 28b";;96
34;NIMJJ;Gaule du sud;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;;tombe-bûcher;indéterminé;;adulte;90;125;Gaule Narbonnaise;SP1055, US 1202;"Rütti 1991, type AR 130.2 ; Isings 1957, type 28b";;102
