ID;site_abbreviation;zone_geo;nouvelle_categorie;fonction_nom;obj_nom;obj_inv;obj_nmi;obj_NR;obj_typologie;materiau_nom;obj_remarque;phase_date_debut;phase_date_fin;phase_num;province_nom;us_nom;typo_ER;quartier_nom;typeUS_nom;batiment_nom;type_espace_nom
1;PAN;Gaule du Sud;couteau;instrument;couteau;OBJ PAN12-07;1;1;;fer;;0;0;307;Gaule Narbonnaise;US 12001;RRB;relai routier;US technique;NULL;type d'espace indéterminé
2;PAN;Gaule du Sud;équipement équestre et bovin;équipement équestre et bovin;hipposandale ?;OBJ PAN12-27;1;1;;fer;;0;0;307;Gaule Narbonnaise;US 12001;RRB;relai routier;US technique;NULL;type d'espace indéterminé
3;PAN;Gaule du Sud;hydraulique;hydraulique;frette de canalisation;OBJ PAN12-13;1;1;;fer;;0;0;307;Gaule Narbonnaise;US 12021;RRB;relai routier;niveau d'occupation;PAN_espace A1;bâtiment d'habitation
4;PAN;Gaule du Sud;travail du métal;travail du métal;coin ?;OBJ PAN12-20;1;1;;fer;;0;0;307;Gaule Narbonnaise;US 12021;RRB;relai routier;niveau d'occupation;PAN_espace A1;bâtiment d'habitation
5;PAN;Gaule du Sud;ameublement;ameublement;applique décorative;OBJ PAN12-25;1;1;;alliage cuivreux;;0;0;307;Gaule Narbonnaise;US 12035;RRB;relai routier;fosse à pierre;NULL;bâtiment d'habitation
6;PAN;Gaule du Sud;divers;ameublement;ferrure;OBJ PAN12-19;1;1;;fer;;0;0;307;Gaule Narbonnaise;US 12043;RRB;relai routier;niveau de démolition;PAN_espace A2;bâtiment de nature indéterminé
7;PAN;Gaule du Sud;indéterminé;indéterminé;tuyau ?;OBJ PAN12-36;1;1;;plomb;;0;0;307;Gaule Narbonnaise;US 12046;RRB;relai routier;niveau d'occupation;PAN_espace A1;bâtiment d'habitation
8;PAN;Gaule du Sud;indéterminé;indéterminé;chute ?;OBJ PAN12-33;1;1;;plomb;;0;0;307;Gaule Narbonnaise;US 12050;RRB;relai routier;niveau de démolition;PAN_espace A4;bâtiment de nature indéterminé
9;PAN;Gaule du Sud;élément de jeu;jeu, comptage;jeton;OBJ PAN12-09;1;1;;os;;0;0;307;Gaule Narbonnaise;US 12070;RRB;relai routier;remblai;PAN_espace D2;bâtiment d'habitation
10;PAN;Gaule du Sud;hydraulique;hydraulique;frette de canalisation;OBJ PAN12-12;1;1;;fer;;0;0;307;Gaule Narbonnaise;US 12070;RRB;relai routier;remblai;PAN_espace D2;bâtiment d'habitation
11;PAN;Gaule du Sud;indéterminé;indéterminé;plaque;OBJ PAN12-38;1;3;;fer;;0;0;307;Gaule Narbonnaise;US 12105;RRB;relai routier;niveau d'occupation;PAN_espace D2;bâtiment d'habitation
