ID;tombe;site;province;zone_geo;amphore;monnaie;lampe;armement;parure;strigile;instrument de toilette;miroir;vaisselle métallique;vaisselle en verre;matériaux précieux;char;lit funéraire;instrument écriture;quantité objet;tombe_multiple;sexe defunt;classe age defunt;date_debut;date_fin
1;AIXZAC_sépulture  38;AIXZAC;Gaule Narbonnaise;Gaule du sud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;indéterminé;indéterminé;150;200
2;AIXZAC_sépulture 10;AIXZAC;Gaule Narbonnaise;Gaule du sud;0;0;0;0;3;0;0;0;0;1;3;0;0;0;9;non;indéterminé;indéterminé;40;60
3;AIXZAC_sépulture 21;AIXZAC;Gaule Narbonnaise;Gaule du sud;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;non;indéterminé;indéterminé;60;90
4;AIXZAC_sépulture 22;AIXZAC;Gaule Narbonnaise;Gaule du sud;0;0;0;0;0;0;0;0;0;0;3;0;0;0;5;non;indéterminé;indéterminé;100;130
5;AIXZAC_sépulture 30;AIXZAC;Gaule Narbonnaise;Gaule du sud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;indéterminé;indéterminé;60;150
6;AIXZAC_sépulture 32;AIXZAC;Gaule Narbonnaise;Gaule du sud;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;non;indéterminé;indéterminé;150;200
7;AIXZAC_sépulture 41;AIXZAC;Gaule Narbonnaise;Gaule du sud;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;non;indéterminé;indéterminé;60;120
8;AIXZAC_sépulture 43;AIXZAC;Gaule Narbonnaise;Gaule du sud;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;indéterminé;150;200
9;AIXZAC_sépulture 46;AIXZAC;Gaule Narbonnaise;Gaule du sud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;non;indéterminé;indéterminé;70;130
10;AIXZAC_sépulture 47;AIXZAC;Gaule Narbonnaise;Gaule du sud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;non;indéterminé;indéterminé;50;150
11;AIXZAC_sépulture 48;AIXZAC;Gaule Narbonnaise;Gaule du sud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;indéterminé;60;90
12;AIXZAC_sépulture double 27/28;AIXZAC;Gaule Narbonnaise;Gaule du sud;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;indéterminé;150;200
13;AIXZAC_tombe-bûcher 12;AIXZAC;Gaule Narbonnaise;Gaule du sud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;indéterminé;60;90
14;AIXZAC_tombe-bûcher 13;AIXZAC;Gaule Narbonnaise;Gaule du sud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;non;indéterminé;indéterminé;60;90
15;AVAM_St 101;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;féminin;adulte sénile;50;100
16;AVAM_St 102;AVAM;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7;non;indéterminé;adulte mature;31;70
17;AVAM_St 104;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin;jeune adulte ou adulte mature;50;100
18;AVAM_St 107;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;indéterminé;adulte mature ou sénile;31;70
19;AVAM_St 118;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin;jeune adulte ou adulte mature;31;70
20;AVAM_St 119;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;non;indéterminé;adulte;50;75
21;AVAM_St 123;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;non;indéterminé;adulte mature;50;75
22;AVAM_St 124;AVAM;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;oui;indéterminé;adulte mature + infans I;50;75
23;AVAM_St 128;AVAM;Germanie;Gaule du centre-est;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;non;féminin;jeune adulte;31;70
24;AVAM_St 134;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte mature;50;75
25;AVAM_St 137;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;non;indéterminé;adulte mature ou sénile;0;0
26;AVAM_St 139;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte;50;100
27;AVAM_St 140;AVAM;Germanie;Gaule du centre-est;1;1;0;0;1;0;0;0;0;0;0;0;0;0;2;non;indéterminé;adulte mature ou sénile;30;70
28;AVAM_St 145/113;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;non;indéterminé;adulte;31;70
29;AVAM_St 148;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;non;féminin;adulte mature;50;75
30;AVAM_St 159;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;masculin;adulte mature ou sénile;40;80
31;AVAM_St 163;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin;adulte mature;40;70
32;AVAM_St 172;AVAM;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin;adulte mature;50;75
